Gene	1_ST_1	1_ST_2	1_ST_3	1_ST_4	1_ST_5	1_ST_6	1_ST_7	1_ST_8	1_ST_9	1_ST_10	1_ST_11	1_ST_12	1_ST_13	1_ST_14	1_ST_15	1_ST_16	1_ST_17	1_ST_18	1_ST_19	1_ST_20	1_ST_21	1_ST_22	1_ST_23	1_ST_24
TPRX1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TPRXL	0.00	0.00	42.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TPSAB1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TPSB2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TPSD1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TPSG1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TPST1	0.00	4.93	0.00	0.00	23.96	0.00	0.00	0.00	50.23	0.00	1.24	0.00	67.53	105.88	0.00	90.15	2.76	2.96	0.00	0.00	0.00	0.00	4.46	2.29
TPST2	181.22	14.78	21.39	86.91	73.15	0.00	0.00	0.00	73.42	87.09	107.05	80.34	111.90	8.82	0.00	90.15	287.12	150.95	76.33	218.01	0.00	49.14	40.18	139.52
TPT1	1316.53	1064.15	618.25	849.09	823.54	6064.09	2594.03	3394.76	1526.36	1088.64	1136.52	1492.01	607.75	1067.66	0.00	1640.64	1173.32	1491.70	1228.70	1025.92	407.83	1498.67	1267.98	1445.53
TPT1-AS1	0.00	83.75	79.71	0.00	12.61	0.00	0.00	0.00	7.73	17.81	4.98	129.12	9.65	8.82	0.00	18.03	77.30	0.00	7.45	4.27	0.00	16.38	8.93	0.00
TPTE	0.00	0.00	3.89	26.74	65.58	0.00	0.00	0.00	3.86	3.96	1.24	0.00	0.00	8.82	0.00	4.51	2.76	0.00	5.59	8.55	0.00	8.19	4.46	0.00
TPTE2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TPTE2P1	0.00	93.61	0.00	0.00	32.79	0.00	0.00	0.00	3.86	0.00	0.00	2.87	0.00	0.00	0.00	0.00	0.00	0.00	1.86	0.00	0.00	49.14	0.00	0.00
TPTE2P3	0.00	0.00	0.00	0.00	13.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TPTE2P5	0.00	4.93	1.94	20.06	3.78	0.00	0.00	0.00	11.59	0.00	0.00	0.00	1.93	105.88	0.00	4.51	33.13	20.72	3.72	0.00	0.00	0.00	4.46	0.00
TPTE2P6	5.33	59.12	0.00	13.37	0.00	0.00	0.00	0.00	119.79	1.98	0.00	0.00	0.00	8.82	0.00	49.58	41.41	8.88	13.03	8.55	0.00	0.00	4.46	18.30
TPTEP1	15.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.98	0.00	28.69	0.00	8.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TPX2	255.84	44.34	36.94	46.80	25.22	44.26	0.00	0.00	3.86	51.46	156.85	275.45	86.82	0.00	0.00	99.16	55.22	349.25	106.12	0.00	0.00	98.27	71.44	16.01
TRA2A	95.94	128.09	66.10	127.03	153.86	0.00	0.00	0.00	65.69	160.33	22.41	14.35	125.41	114.71	0.00	99.16	85.58	103.59	96.81	51.30	407.83	163.79	147.34	75.48
TRA2B	37.31	34.49	124.43	80.23	84.50	44.26	0.00	0.00	77.28	199.91	79.67	77.47	61.74	247.06	0.00	72.12	99.39	62.15	24.20	25.65	0.00	8.19	93.76	139.52
TRABD	5.33	0.00	0.00	6.69	3.78	0.00	0.00	0.00	0.00	0.00	2.49	83.21	0.00	0.00	0.00	0.00	2.76	0.00	11.17	0.00	0.00	0.00	0.00	82.34
TRABD2A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRABD2B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRADD	15.99	0.00	5.83	66.86	3.78	0.00	0.00	0.00	3.86	45.53	85.89	2.87	0.00	61.77	0.00	0.00	8.28	8.88	59.57	8.55	0.00	24.57	4.46	93.78
TRAF1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.24	0.00	0.00	0.00	0.00	40.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRAF2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRAF3	0.00	9.85	1.94	46.80	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.47	0.00	0.00	2.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRAF3IP1	0.00	9.85	54.44	13.37	37.83	0.00	0.00	0.00	3.86	3.96	4.98	8.61	0.00	8.82	0.00	4.51	5.52	47.36	9.31	0.00	0.00	16.38	8.93	2.29
TRAF3IP2	5.33	137.95	0.00	6.69	2.52	0.00	0.00	0.00	3.86	0.00	0.00	0.00	0.00	8.82	0.00	0.00	0.00	0.00	1.86	0.00	0.00	0.00	8.93	6.86
TRAF3IP2-AS1	0.00	0.00	3.89	0.00	3.78	0.00	0.00	0.00	3.86	0.00	1.24	8.61	44.38	0.00	0.00	4.51	0.00	0.00	13.03	0.00	0.00	0.00	4.46	2.29
TRAF3IP3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRAF4	0.00	0.00	48.60	0.00	3.78	0.00	0.00	0.00	0.00	13.86	1.24	0.00	28.94	0.00	0.00	0.00	0.00	5.92	0.00	0.00	0.00	0.00	0.00	2.29
TRAF5	0.00	0.00	5.83	33.43	11.35	0.00	0.00	0.00	3.86	0.00	67.22	0.00	0.00	44.12	0.00	72.12	0.00	2.96	39.10	4.27	0.00	8.19	0.00	2.29
TRAF6	143.91	0.00	3.89	26.74	51.71	0.00	0.00	0.00	170.03	83.13	64.73	0.00	46.30	8.82	0.00	4.51	2.76	23.68	1.86	8.55	0.00	98.27	89.29	22.87
TRAF7	0.00	0.00	1.94	0.00	3.78	309.84	0.00	0.00	0.00	7.92	23.65	0.00	0.00	0.00	0.00	0.00	0.00	79.91	1.86	0.00	0.00	73.71	0.00	38.88
TRAFD1	0.00	0.00	1.94	60.17	13.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.93	0.00	0.00	90.15	0.00	0.00	0.00	4.27	0.00	8.19	0.00	66.33
TRAIP	0.00	0.00	0.00	26.74	23.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.46	0.00
TRAK1	367.77	162.58	56.38	26.74	78.19	0.00	0.00	0.00	123.65	63.34	8.71	109.03	48.23	26.47	0.00	9.01	33.13	91.75	67.02	149.61	407.83	188.36	116.08	57.18
TRAK2	0.00	73.90	0.00	0.00	1.26	0.00	0.00	3879.73	11.59	3.96	57.26	0.00	3.86	0.00	0.00	9.01	0.00	2.96	160.10	0.00	0.00	0.00	0.00	2.29
TRAM1	287.82	64.05	231.36	60.17	176.56	44.26	1297.02	0.00	127.52	211.79	63.49	80.34	135.06	114.71	327.01	22.54	328.53	352.21	376.06	273.58	0.00	376.72	531.30	221.86
TRAM1L1	37.31	0.00	5.83	0.00	2.52	0.00	0.00	0.00	0.00	0.00	34.85	0.00	0.00	0.00	0.00	45.07	2.76	0.00	44.68	0.00	0.00	0.00	0.00	32.02
TRAM2	15.99	4.93	27.22	33.43	2.52	0.00	0.00	0.00	0.00	15.83	0.00	37.30	32.80	0.00	0.00	0.00	11.04	82.87	24.20	8.55	0.00	0.00	0.00	4.57
TRAM2-AS1	0.00	4.93	0.00	0.00	0.00	0.00	0.00	0.00	54.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.33	0.00	39.10	0.00	0.00	90.08	0.00	0.00
TRANK1	0.00	0.00	0.00	0.00	30.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRAP1	95.94	68.97	1.94	0.00	37.83	0.00	0.00	0.00	0.00	27.71	12.45	0.00	0.00	0.00	0.00	18.03	0.00	0.00	31.65	68.39	0.00	0.00	49.11	2.29
TRAPPC1	143.91	83.75	79.71	80.23	35.31	88.53	0.00	0.00	57.96	144.49	114.52	25.82	148.56	105.88	0.00	288.47	33.13	106.55	72.61	72.67	0.00	40.95	58.04	22.87
TRAPPC10	10.66	0.00	1.94	0.00	3.78	0.00	0.00	0.00	11.59	1.98	2.49	5.74	88.75	17.65	0.00	4.51	0.00	5.92	7.45	29.92	0.00	8.19	8.93	18.30
TRAPPC11	47.97	0.00	7.78	0.00	32.79	0.00	0.00	0.00	3.86	3.96	1.24	5.74	3.86	132.35	0.00	4.51	0.00	56.23	0.00	4.27	0.00	0.00	49.11	48.03
TRAPPC12	5.33	9.85	35.00	20.06	176.56	0.00	0.00	0.00	11.59	3.96	70.95	60.25	40.52	105.88	0.00	4.51	5.52	5.92	53.99	12.82	0.00	8.19	183.05	121.22
TRAPPC13	10.66	113.31	9.72	0.00	8.83	0.00	0.00	0.00	19.32	69.28	8.71	51.65	0.00	141.18	0.00	54.09	0.00	14.80	1.86	111.14	0.00	0.00	13.39	6.86
TRAPPC2	0.00	0.00	0.00	6.69	1.26	0.00	0.00	0.00	7.73	1.98	1.24	8.61	63.67	0.00	0.00	27.04	0.00	2.96	5.59	0.00	0.00	32.76	58.04	18.30
TRAPPC2B	21.32	93.61	167.20	73.54	35.31	0.00	648.51	0.00	0.00	7.92	0.00	11.48	11.58	17.65	0.00	4.51	13.80	20.72	50.27	12.82	407.83	147.41	138.41	52.61
TRAPPC2L	90.61	162.58	46.66	0.00	93.33	0.00	0.00	0.00	7.73	197.94	74.69	197.98	221.88	0.00	0.00	40.57	146.32	65.11	53.99	25.65	0.00	16.38	22.32	0.00
TRAPPC3	47.97	19.71	124.43	26.74	41.62	0.00	0.00	0.00	112.06	67.30	6.22	51.65	13.51	97.06	0.00	49.58	13.80	8.88	5.59	29.92	0.00	16.38	89.29	13.72
TRAPPC3L	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRAPPC4	111.93	261.11	114.71	46.80	157.65	442.63	0.00	0.00	320.73	193.98	110.79	189.37	212.23	17.65	0.00	414.67	93.87	121.35	253.19	42.75	0.00	40.95	236.63	283.62
TRAPPC5	458.39	275.89	540.49	862.46	247.19	88.53	0.00	0.00	490.75	150.43	521.58	378.74	241.17	141.18	0.00	351.57	63.50	254.54	534.30	98.32	0.00	303.01	129.48	375.10
TRAPPC6A	26.65	14.78	85.54	33.43	76.93	0.00	0.00	0.00	0.00	11.88	1.24	5.74	194.87	0.00	0.00	0.00	57.98	65.11	11.17	0.00	0.00	73.71	35.72	4.57
TRAPPC6B	47.97	4.93	19.44	86.91	93.33	0.00	0.00	0.00	61.83	21.77	105.81	2.87	65.60	105.88	0.00	13.52	49.69	118.39	80.05	25.65	0.00	65.52	8.93	38.88
TRAPPC8	0.00	0.00	21.39	0.00	134.94	0.00	0.00	0.00	0.00	1.98	13.69	2.87	81.03	0.00	7521.26	148.74	8.28	65.11	27.93	0.00	0.00	0.00	80.36	18.30
TRAPPC9	0.00	0.00	3.89	0.00	26.48	0.00	0.00	0.00	65.69	15.83	0.00	0.00	1.93	17.65	0.00	0.00	0.00	0.00	39.10	0.00	0.00	229.31	0.00	66.33
TRAT1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRDMT1	5.33	0.00	1.94	0.00	1.26	0.00	0.00	0.00	0.00	0.00	1.24	0.00	0.00	0.00	0.00	85.64	0.00	2.96	20.48	0.00	0.00	0.00	4.46	0.00
TRDN	5.33	19.71	97.21	0.00	1.26	0.00	0.00	0.00	3.86	3.96	2.49	2.87	0.00	0.00	0.00	4.51	99.39	0.00	0.00	0.00	0.00	49.14	0.00	155.53
TREH	0.00	0.00	0.00	0.00	81.98	0.00	0.00	0.00	61.83	0.00	2.49	0.00	0.00	0.00	0.00	0.00	2.76	2.96	16.76	4.27	0.00	0.00	4.46	0.00
TREM1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TREM2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TREML1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TREML2	0.00	0.00	0.00	0.00	29.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.04	2.96	0.00	0.00	0.00	0.00	0.00	0.00
TREML3P	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TREML4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TREML5P	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRERF1	10.66	172.43	35.00	213.94	55.49	44.26	0.00	0.00	92.74	71.26	83.40	8.61	1.93	97.06	0.00	13.52	11.04	20.72	109.84	158.16	0.00	0.00	75.90	57.18
TRERNA1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TREX1	0.00	4.93	9.72	0.00	2.52	0.00	0.00	0.00	0.00	0.00	0.00	2.87	0.00	0.00	0.00	0.00	91.11	2.96	0.00	4.27	0.00	0.00	0.00	68.62
TREX2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRG-AS1	0.00	118.24	5.83	0.00	6.31	0.00	0.00	0.00	0.00	9.90	1.24	2.87	106.11	8.82	0.00	13.52	2.76	11.84	13.03	8.55	0.00	0.00	4.46	2.29
TRH	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRHDE	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.93	0.00	0.00	0.00	0.00	0.00	74.47	0.00	0.00	0.00	0.00	0.00
TRHDE-AS1	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.00	0.00	0.00	1.24	0.00	0.00	123.53	0.00	9.01	0.00	0.00	29.79	0.00	0.00	0.00	0.00	0.00
TRHR	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIAP1	10.66	0.00	54.44	13.37	49.19	0.00	0.00	0.00	112.06	49.48	56.02	8.61	59.81	0.00	0.00	72.12	57.98	159.82	94.95	17.10	407.83	8.19	13.39	34.31
TRIB1	101.27	4.93	9.72	46.80	119.81	2655.81	0.00	0.00	3.86	33.65	2.49	5.74	11.58	52.94	0.00	139.73	138.04	5.92	74.47	76.94	0.00	16.38	84.83	16.01
TRIB2	143.91	14.78	71.94	106.97	12.61	44.26	0.00	0.00	162.30	33.65	4.98	103.29	88.75	132.35	0.00	4.51	121.47	94.71	78.19	188.09	0.00	49.14	22.32	52.61
TRIB3	0.00	0.00	0.00	0.00	10.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	71.44	0.00
TRIL	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM11	0.00	0.00	1.94	0.00	3.78	0.00	0.00	0.00	11.59	0.00	1.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM13	10.66	147.80	276.08	66.86	110.98	0.00	0.00	0.00	96.61	27.71	19.92	126.25	106.11	35.29	0.00	108.17	30.37	56.23	5.59	38.47	0.00	212.93	13.39	100.64
TRIM14	15.99	4.93	42.77	0.00	26.48	0.00	0.00	0.00	0.00	0.00	0.00	2.87	0.00	0.00	0.00	4.51	24.85	0.00	37.23	8.55	0.00	8.19	66.97	4.57
TRIM15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM16	127.92	98.53	21.39	46.80	50.45	1637.75	0.00	0.00	61.83	57.40	102.07	5.74	1.93	105.88	0.00	4.51	5.52	88.79	121.01	29.92	0.00	180.17	93.76	22.87
TRIM16L	0.00	9.85	9.72	53.49	13.87	0.00	0.00	0.00	3.86	1.98	0.00	40.17	1.93	8.82	0.00	0.00	2.76	0.00	1.86	0.00	0.00	0.00	4.46	2.29
TRIM17	5.33	0.00	97.21	6.69	1.26	0.00	0.00	0.00	0.00	0.00	1.24	2.87	0.00	8.82	327.01	0.00	0.00	2.96	1.86	4.27	0.00	0.00	0.00	2.29
TRIM2	5.33	0.00	23.33	20.06	8.83	0.00	0.00	0.00	3.86	37.61	1.24	2.87	0.00	0.00	0.00	0.00	2.76	5.92	0.00	8.55	0.00	0.00	0.00	38.88
TRIM21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM23	42.64	0.00	3.89	0.00	138.73	0.00	0.00	0.00	3.86	11.88	1.24	137.72	1.93	194.12	0.00	4.51	85.58	0.00	16.76	4.27	0.00	24.57	209.84	45.74
TRIM24	10.66	0.00	25.27	6.69	25.22	0.00	648.51	0.00	38.64	164.29	261.41	2.87	28.94	0.00	0.00	103.67	74.54	85.83	52.13	51.30	0.00	24.57	22.32	52.61
TRIM25	47.97	4.93	130.26	140.40	89.54	0.00	0.00	0.00	104.33	146.47	79.67	172.16	108.04	158.83	0.00	117.19	24.85	145.03	135.90	8.55	0.00	139.22	272.35	157.82
TRIM26	0.00	226.62	54.44	0.00	46.66	0.00	0.00	0.00	11.59	112.82	2.49	0.00	38.59	0.00	0.00	0.00	85.58	11.84	7.45	85.49	0.00	0.00	13.39	130.37
TRIM27	111.93	29.56	38.88	26.74	70.63	0.00	0.00	0.00	11.59	77.19	44.81	17.22	102.26	0.00	0.00	13.52	41.41	127.27	63.30	145.34	0.00	16.38	415.22	16.01
TRIM28	330.46	142.87	134.15	66.86	195.48	0.00	0.00	484.97	150.70	13.86	85.89	103.29	77.17	441.18	0.00	135.22	350.62	165.74	40.96	85.49	0.00	65.52	272.35	91.49
TRIM29	0.00	0.00	3.89	0.00	25.22	0.00	0.00	0.00	0.00	0.00	27.39	5.74	0.00	0.00	0.00	0.00	2.76	2.96	0.00	8.55	0.00	0.00	0.00	2.29
TRIM3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.98	1.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM31-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM32	0.00	0.00	0.00	0.00	18.92	0.00	0.00	0.00	0.00	0.00	0.00	2.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.46	16.01
TRIM33	5.33	4.93	141.93	20.06	51.71	0.00	0.00	0.00	11.59	77.19	0.00	0.00	1.93	194.12	0.00	85.64	55.22	0.00	13.03	111.14	0.00	0.00	245.56	68.62
TRIM34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM35	0.00	4.93	35.00	86.91	50.45	0.00	0.00	484.97	7.73	0.00	141.91	0.00	67.53	35.29	0.00	4.51	27.61	0.00	3.72	25.65	0.00	0.00	26.79	0.00
TRIM36	106.60	34.49	589.09	488.06	1102.26	0.00	0.00	0.00	231.85	41.57	458.09	252.49	36.66	35.29	654.02	31.55	91.11	62.15	115.42	51.30	0.00	245.68	250.02	43.46
TRIM37	106.60	216.77	99.15	213.94	232.05	0.00	0.00	0.00	27.05	130.64	117.01	272.58	108.04	44.12	0.00	103.67	91.11	71.03	48.40	17.10	0.00	212.93	504.51	224.15
TRIM38	10.66	152.73	5.83	6.69	8.83	0.00	0.00	0.00	166.16	166.27	0.00	54.52	3.86	0.00	0.00	54.09	0.00	2.96	33.51	0.00	0.00	57.33	8.93	0.00
TRIM39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.49	0.00	0.00	0.00	9156.31	4.51	104.91	2.96	0.00	0.00	0.00	0.00	4.46	107.50
TRIM39-RPP21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM4	90.61	4.93	33.05	53.49	25.22	0.00	0.00	0.00	23.19	37.61	2.49	2.87	23.15	141.18	0.00	81.13	2.76	20.72	3.72	218.01	0.00	8.19	44.65	43.46
TRIM40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM41	5.33	39.41	3.89	0.00	26.48	0.00	0.00	0.00	38.64	3.96	1.24	2.87	19.29	88.24	0.00	13.52	11.04	5.92	1.86	38.47	0.00	0.00	17.86	9.15
TRIM42	5.33	19.71	42.77	6.69	267.37	0.00	0.00	0.00	7.73	1.98	1.24	5.74	3.86	0.00	0.00	0.00	8.28	2.96	3.72	4.27	0.00	16.38	26.79	6.86
TRIM43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM43B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM44	90.61	4.93	5.83	33.43	12.61	0.00	0.00	0.00	7.73	0.00	28.63	17.22	84.89	8.82	0.00	0.00	0.00	97.67	91.22	94.04	0.00	0.00	13.39	54.89
TRIM45	5.33	0.00	0.00	0.00	6.31	0.00	0.00	0.00	0.00	0.00	0.00	2.87	0.00	0.00	0.00	0.00	0.00	0.00	1.86	8.55	0.00	0.00	22.32	4.57
TRIM46	5.33	103.46	3.89	0.00	90.80	0.00	0.00	0.00	0.00	0.00	0.00	2.87	0.00	0.00	0.00	0.00	0.00	5.92	3.72	4.27	407.83	0.00	13.39	0.00
TRIM47	21.32	0.00	0.00	6.69	5.04	0.00	0.00	0.00	7.73	29.69	0.00	0.00	96.47	0.00	0.00	72.12	5.52	5.92	3.72	0.00	0.00	311.20	0.00	2.29
TRIM48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM49B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM49C	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM49D1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM49D2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TRIM5	0.00	0.00	29.16	0.00	1.26	0.00	0.00	0.00	0.00	0.00	1.24	0.00	28.94	0.00	0.00	0.00	85.58	0.00	0.00	0.00	0.00	0.00	4.46	0.00
TRIM50	0.00	0.00	36.94	0.00	20.18	0.00	0.00	0.00	3.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	74.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00
