Gene	1_ST_1	1_ST_2	1_ST_3	1_ST_4	1_ST_5	1_ST_6	1_ST_7	1_ST_8	1_ST_9	1_ST_10	1_ST_11	1_ST_12	1_ST_13	1_ST_14	1_ST_15	1_ST_16	1_ST_17	1_ST_18	1_ST_19	1_ST_20	1_ST_21	1_ST_22	1_ST_23	1_ST_24
ABCC11	0.00	0.00	13.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCC12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCC13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCC2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCC3	0.00	9.85	3.89	113.66	0.00	0.00	0.00	0.00	3.86	1.98	1.24	65.99	0.00	8.82	0.00	0.00	0.00	73.99	18.62	0.00	0.00	8.19	0.00	11.44
ABCC4	0.00	49.27	0.00	0.00	3.78	0.00	0.00	0.00	0.00	0.00	0.00	20.08	23.15	0.00	0.00	0.00	80.06	2.96	39.10	4.27	0.00	0.00	0.00	0.00
ABCC5	26.65	167.51	54.44	167.14	81.98	0.00	0.00	0.00	374.83	57.40	56.02	94.69	106.11	17.65	0.00	180.29	93.87	73.99	68.88	149.61	0.00	24.57	58.04	16.01
ABCC5-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCC6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	45.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.03	0.00	0.00	0.00	0.00	0.00
ABCC6P1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCC6P2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCC8	0.00	0.00	1.94	0.00	13.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.96	20.48	8.55	0.00	0.00	0.00	0.00
ABCC9	74.62	59.12	23.33	33.43	20.18	44.26	0.00	0.00	19.32	41.57	1.24	51.65	81.03	35.29	0.00	13.52	52.45	50.32	70.74	72.67	0.00	32.76	80.36	66.33
ABCD1	69.29	0.00	54.44	53.49	39.10	0.00	0.00	484.97	115.93	140.53	36.10	126.25	19.29	150.00	327.01	18.03	102.15	68.07	24.20	4.27	0.00	8.19	17.86	45.74
ABCD2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCD3	42.64	118.24	46.66	153.77	99.63	0.00	0.00	0.00	220.26	43.55	34.85	80.34	50.16	176.47	0.00	130.71	132.52	68.07	242.02	21.37	0.00	16.38	129.48	128.08
